rsid,chr,pos,beta
rs137893140,9,22157832,10.526316
rs13436710,5,9843018,10.19
rs6134031,20,10771962,9.66
rs184660829,1,114602278,8.05
rs1670754,4,32263375,7.697
rs569511541,17,54063444,7.63
rs7213402,17,8691776,7.167
rs10261386,7,121071801,6.711409
rs115114609,5,88448197,5.8
rs4532315,5,54768502,5.734
rs3864095,3,187219249,5.72
rs2049477,7,3273238,5.714286
rs4072825,11,2166212,5.584
rs111248619,8,132453251,5.559
rs140453320,5,65189412,5.46
rs7566955,2,140059972,5.263158
rs2088315,3,162664729,5.263158
rs7646242,3,162563848,4.8543687
rs59457600,3,55234434,4.838
rs29582,16,8335727,4.831
rs11034036,11,37234640,4.7393365
rs191571564,19,10029981,4.72
rs7330796,13,75324027,4.43
rs77704739,5,52785075,4.32
rs1894151,18,56096220,3.96
rs12735779,1,3435664,3.72
rs538810025,2,167499470,3.637
rs561774145,1,10640119,3.6
rs76262407,19,34600451,3.56
rs184847416,2,136287660,3.54
rs183835213,16,12630856,3.504
rs140767541,2,142707683,3.5
rs138922162,6,74692729,3.302
rs60132843,12,125114588,3.29
rs550539923,9,23622167,3.257
rs565381963,4,32578189,3.228
rs146772020,4,89457676,3.127
rs117482282,6,165097982,3.079
rs551513405,7,56003690,3.05
rs1538583,9,69176631,2.95
rs79783591,18,60371544,2.93
rs551592540,2,60208564,2.904
rs79768058,9,132436281,2.87
rs918519,5,159399349,2.86
rs76895963,12,4275678,2.84
rs870992,5,52897406,2.79
rs527320094,1,72387303,2.77
rs117854110,7,105603002,2.739
rs1132787,4,144109393,2.71
rs13333226,16,20354332,2.68
rs76197067,18,54937724,2.68
rs9273368,6,32658698,2.678
rs741301,7,36878390,2.67
rs6595551,5,124804202,2.63
rs73954691,2,127663671,2.6
rs16862964,3,188074923,2.59
rs115018790,5,52792437,2.56
rs113052081,6,41201241,2.55
rs4289202,2,125848518,2.51
rs183360430,8,56529823,2.509
rs12304921,12,50963759,2.5
rs576083050,12,450654,2.34
rs79046683,2,96248180,2.34
rs557027608,12,97385470,2.34
rs11864909,16,20389517,2.34
rs533172266,19,45848579,2.33
rs71647933,1,33480000,2.31
rs34766496,4,35995088,2.3
rs4852954,2,73642883,2.27
rs10224002,7,151717955,2.27
rs11615866,12,5284163,2.26
rs6935464,6,166700720,2.25
rs138768039,6,104114435,2.22
rs62328468,4,155813921,2.21
rs3095447,7,77135653,2.18
rs531347476,8,117012076,2.16
rs7236163,18,14150725,2.14
rs140120210,7,143735931,2.13
rs141052170,9,136140067,2.13
rs194045,16,29234781,2.13
rs6032,1,169542317,2.12
rs73741124,6,22925808,2.11
rs2604566,4,15136098,2.1
rs190767814,3,86918563,2.097
rs74796791,3,17161837,2.04
rs1990145,2,75650524,2.02
rs139560285,17,56900209,2.02
rs4771506,13,105843651,1.97
rs7561852,2,6021578,1.966
rs140306040,7,62860773,1.9646366
rs1449245,8,92576112,1.96
rs9966620,18,24100771,1.95
rs597539,11,68834506,1.948
rs3792615,4,163611649,1.93
rs6993194,8,71117967,1.93
rs115689251,17,36032377,1.924
rs11706588,3,126729670,1.89
rs77142250,4,11443243,1.89
rs67254669,11,17448596,1.89
rs75029938,5,126437641,1.89
rs144050412,1,28632950,1.88
rs4977388,9,20184333,1.87
rs3818329,1,192658630,1.865
rs871913,20,16163700,1.86
rs72837105,2,72280666,1.852
rs7636,7,100892456,1.85
rs73893755,3,197026396,1.85
rs28736332,4,15941248,1.844
rs9462492,6,39209798,1.84
rs112328442,8,3359886,1.84
rs73206603,13,59495931,1.83
rs3773506,3,142712158,1.81
rs11961816,6,139003738,1.81
rs73051414,12,3997742,1.805
rs58318008,4,7368937,1.8
rs115585699,12,98386008,1.8
rs71378214,16,15954796,1.793
rs8093481,18,10695159,1.79
rs35498131,16,9026952,1.7869906
rs75107833,2,174100883,1.758
rs139484064,20,36992576,1.73
rs80268399,11,84441091,1.71
rs6026382,20,58591228,1.7
rs115351876,7,1729716,1.69
rs12036718,1,48083641,1.68
rs11679897,2,111566066,1.679
rs9896052,17,75422781,1.67
rs6986153,8,107059816,1.67
